index,wass_dist
1279.0,4.181338049
1280.0,0.906820145
1283.0,1.425880031
1284.0,5.45971321
1285.0,8.099913325
1286.0,0.71128489
1288.0,2.047356153
1289.0,1.234618726
1290.0,1.295695839
1291.0,0.770973449
1292.0,1.834427655
1293.0,0.976749023
1294.0,6.382217604
1295.0,9.028239903
1296.0,2.759800892
1298.0,11.150295
1299.0,0.347984533
1300.0,5.669579084
1301.0,1.923682293
1302.0,1.061613062
1303.0,6.420059549
1304.0,2.063749962
1306.0,8.005897795
1307.0,3.124543625
1308.0,12.25349547
1309.0,3.198660447
1311.0,0.780550127
1312.0,0.51488655
1313.0,1.099028194
1314.0,1.122848439
1315.0,1.921945117
1316.0,1.470170455
1317.0,4.238325996
1318.0,3.175097223
1319.0,6.575395161
1320.0,0.492026416
1322.0,8.305425384
1323.0,0.662976811
1324.0,5.51081616
1325.0,1.670850753
1326.0,0.469063077
1327.0,5.659045889
1328.0,1.173731177
1329.0,4.971498742
1330.0,1.004562818
1331.0,1.796131735
1332.0,0.617930932
1333.0,1.042446636
1335.0,11.84875309
1337.0,1.586070291
1338.0,0.487300505
1339.0,3.202573927
1340.0,0.160908206
1341.0,3.329203151
1342.0,1.237900192
1343.0,0.847752725
1344.0,1.421286832
1347.0,9.539670897
1348.0,3.137452104
1349.0,1.247380912
1351.0,0.732410653
1352.0,3.939235278
1353.0,1.790988887
1354.0,10.47665065
1355.0,2.523774354
1356.0,3.012095605
1357.0,0.910960001
1358.0,2.426193451
1360.0,0.944377689
1361.0,15.15619085
1362.0,9.06281429
1363.0,1.156948577
1365.0,0.825157267
1366.0,0.777266293
1367.0,2.548381208
1368.0,1.284979431
1369.0,1.529241298
1370.0,0.872029872
1371.0,1.306878963
1372.0,1.333697825
1373.0,3.283011797
1374.0,1.113926613
1375.0,1.07770504
1376.0,1.070742849
1377.0,1.388404289
1378.0,0.072332535
1379.0,0.675358911
1380.0,0.512183624
1381.0,0.945165273
1382.0,0.635501835
1383.0,0.456475678
1384.0,1.033671285
1385.0,1.188756388
1386.0,2.35956102
1387.0,0.797625733
1388.0,0.688416009
1389.0,2.344416907
1390.0,0.235754521
1391.0,0.118160245
1392.0,2.676674945
1393.0,2.385020149
1394.0,3.075510759
1395.0,1.671220209
1396.0,1.589612018
1397.0,7.150213316
1398.0,2.167249712
1399.0,1.257879333
1400.0,0.690706313
1402.0,0.201216132
1403.0,0.757666584
1404.0,3.305107342
1405.0,2.722104234
1406.0,21.60210241
1407.0,0.629626098
1408.0,6.301191221
1409.0,1.348276339
1410.0,1.310106104
1411.0,0.542788709
1412.0,0.951411687
1413.0,0.793199228
1414.0,0.555850942
1415.0,2.091898372
1416.0,3.655978476
1417.0,0.19623442
1418.0,1.932401505
1419.0,0.234168989
1420.0,0.785519498
1421.0,0.232050395
1422.0,5.570298542
1423.0,1.220974727
1424.0,0.949566551
1425.0,3.217340647
1426.0,1.041126395
1427.0,0.524456374
1428.0,0.852402604
1429.0,0.494620455
1430.0,0.829654503
1431.0,1.567576967
1432.0,6.934561887
1433.0,0.228797952
1434.0,2.27250046
1435.0,0.458390936
1436.0,0.470220748
1437.0,3.26074498
1438.0,0.46005712
1439.0,0.441539812
1440.0,1.329724715
1441.0,4.013041022
1442.0,1.78519022
1443.0,0.69423765
1444.0,0.869791515
1445.0,0.667896634
1446.0,2.341641689
1447.0,1.648041039
1448.0,4.311585305
1449.0,3.360034917
1450.0,0.739046722
1451.0,1.805677937
1452.0,1.923102421
1453.0,2.242844337
1454.0,0.98914369
1455.0,4.091427215
1456.0,0.790208122
1457.0,0.240582904
1458.0,1.026498371
1459.0,3.522255751
1460.0,1.17207753
1461.0,0.69717942
1462.0,1.442814933
1463.0,1.359382485
1464.0,0.22883347
1465.0,3.537790433
1466.0,2.700872396
1467.0,1.710710206
1468.0,0.526992184
1469.0,1.279808505
1470.0,2.584734188
1471.0,4.449662383
1472.0,1.3521795
1473.0,2.157836987
1474.0,0.294935152
1475.0,2.125404685
1476.0,2.491686353
1477.0,2.008530176
1478.0,6.344095204
1479.0,2.582826303
1480.0,2.86531938
1481.0,1.71442488
1482.0,2.136242152
1483.0,2.63353255
1484.0,1.765120461
1485.0,3.044737302
1486.0,0.418279524
1487.0,3.12920621
1488.0,0.205784172
1489.0,0.876111746
1490.0,2.744881229
1491.0,3.468760154
1492.0,1.946583055
1493.0,0.953556458
1494.0,1.440995851
1495.0,0.768431487
1496.0,1.265507705
1497.0,2.103438035
1498.0,0.532457868
1499.0,1.59109054
1500.0,1.165067544
1501.0,3.674542576
1502.0,0.606196136
1503.0,6.681784618
1504.0,0.423977278
1505.0,3.670980611
1506.0,4.226726291
1507.0,0.730192861
1508.0,0.299654771
1509.0,1.146327618
1511.0,1.21004977
1512.0,1.021660699
1513.0,0.924786228
1514.0,0.910893142
1515.0,0.36761581
1516.0,1.366504205
1517.0,1.180138101
1518.0,3.421521024
1519.0,0.489272256
1520.0,8.467133523
1521.0,4.238645446
1522.0,2.738803479
1523.0,2.593861213
1524.0,0.620902796
1525.0,1.614081779
1526.0,2.240630658
1527.0,2.159079133
1528.0,0.437029088
1529.0,0.777285203
1530.0,3.70484913
1531.0,0.384294608
1532.0,0.243312277
1533.0,3.716171926
1534.0,1.105375365
1535.0,1.09447462
1536.0,2.201951896
1537.0,1.147429101
1538.0,2.706058798
1539.0,6.224984199
1540.0,0.582492152
1541.0,2.221095416
1542.0,3.818764112
1543.0,4.418949706
